Checklist,Test,What to do & what you should see,Result (Pass/Partial/Fail),Notes,Screenshot link
11 Graph visualization,TC 11.3 Hover shows node actions,"Hover an activity; edit, duplicate, and delete icons appear on its edge. Move the mouse away; the icons hide.",,,
11 Graph visualization,TC 11.4 Auto Layout,"Drag nodes into a messy arrangement; click Auto Layout (top layout bar); the activities rearrange tidily.",,,
11 Graph visualization,TC 11.5 Detail menu,"Open the Detail menu (Default / Simple View / Preview); switching changes how much detail nodes show.",,,
11 Graph visualization,TC 11.6 Spacing menu,"Open the Spacing menu (Compact View / Expanded View); switching changes the gap between activities.",,,
11 Graph visualization,TC 11.7 Zoom,"Use zoom in / out buttons (top-right of the layout bar); the canvas scales. Reset zoom returns to the default scale.",,,
11 Graph visualization,TC 11.8 Moving a node sticks,"Drag a node to a new spot; its position stays (e.g. after reloading the model the node is where you left it).",,,
11 Graph visualization,TC 11.9 Protein complex parts visible,"For a protein complex, its gene-product subunits (has part links) are visible on the graph and in the right-side table.",,,
12 Model errors,TC 12.1 Error chip appears only with errors,"If the model has problems a red 'N Errors Found' chip shows near the title; with no problems no chip shows.",,,
12 Model errors,TC 12.2 Open the error panel,"Click the 'N Errors Found' chip; the right drawer opens a 'Validation Errors' panel with three count boxes: Data model violation errors (ShEx), Activity Units / Chemicals errors, Relations errors.",,,
12 Model errors,TC 12.3 Count matches what is listed,"Compare the chip number with the problems actually shown in the panel; note any mismatch (known sore point).",,,
12 Model errors,TC 12.4 Each listed error is understandable,"Each red ShEx card shows a number and a plain message, plus a small subject>relation>object diagram. Note any message that is confusing or refers to something not in your model.",,,
12 Model errors,TC 12.5 Activity and relation problem lists,"The Activity Units/Chemicals section may list 'Node not shown' and 'Node/relation combination not allowed' items; the Relations section lists specific edges. Check each matches something really wrong.",,,
12 Model errors,TC 12.6 Closing the panel,"Click Close (top-right); the drawer closes; the error chip is still on the toolbar (closing does not clear errors).",,,
